#Id	SuperClass	RefName
3.3.4	Earth sciences	Gemology
3.3.5	Earth sciences	Geodesy
3.3.6	Earth sciences	Geography
3.3.7	Earth sciences	Geology
3.3.8	Earth sciences	Geochemistry
3.3.9	Earth sciences	Geomorphology
3.3.10	Earth sciences	Geophysics
3.3.11	Earth sciences	Glaciology
3.3.12	Earth sciences	Hydrogeology
3.3.13	Earth sciences	Hydrology
3.3.14	Earth sciences	Meteorology
3.3.15	Earth sciences	Mineralogy
3.3.16	Earth sciences	Oceanography
3.3.17	Earth sciences	Pedology (soil study)|Pedology
3.3.18	Earth sciences	Paleontology
3.3.18.1	Paleontology	Paleobiology
3.3.19	Earth sciences	Planetary science
3.3.20	Earth sciences	Sedimentology
3.3.21	Earth sciences	Soil science
3.3.22	Earth sciences	Speleology
3.3.23	Earth sciences	Tectonics
3.3.24	Earth sciences	Volcanology
3.4	Natural sciences	Physics
3.4.1	Physics	Acoustics
3.4.2	Physics	Applied Physics
3.4.3	Physics	Astrophysics
3.4.4	Physics	Atomic, molecular, and optical physics
3.4.5	Physics	Biophysics
3.4.6	Physics	Computational physics
3.4.7	Physics	Condensed matter physics
3.4.8	Physics	Cryogenics
3.4.9	Physics	Electromagnetism
3.4.10	Physics	Elementary particle physics
3.4.11	Physics	Fluid dynamics
3.4.12	Physics	Geophysics
3.4.13	Physics	Mathematical physics
3.4.14	Physics	Medical physics
3.4.15	Physics	Mechanics
3.4.16	Physics	Molecular physics
3.4.17	Physics	Newton's laws of motion|Newtonian dynamics
3.4.18	Physics	Nuclear physics
3.4.19	Physics	Optics
3.4.20	Physics	Plasma physics
3.4.21	Physics	Quantum physics
3.4.22	Physics	Solid mechanics
3.4.23	Physics	Solid state physics
3.4.24	Physics	Statistical mechanics
3.4.25	Physics	Theoretical physics
3.4.26	Physics	Thermodynamics
3.4.27	Physics	Vehicle dynamics
3.5	Natural sciences	Space sciences
3.5.1	Space sciences	Astrobiology
3.5.2	Space sciences	Astronomy
3.5.2.1	Astronomy	Observational astronomy
3.5.2.1.1	Observational astronomy	Radio astronomy
3.5.2.1.2	Observational astronomy	Timeline of cosmic microwave background astronomy|Microwave astronomy
3.5.2.1.3	Observational astronomy	Infrared astronomy
3.5.2.1.4	Observational astronomy	Optical astronomy
3.5.2.1.5	Observational astronomy	UV astronomy
3.5.2.1.6	Observational astronomy	X-ray astronomy
3.5.2.1.7	Observational astronomy	Gamma ray astronomy
3.5.3	Space sciences	Astrophysics
3.5.3.1	Astrophysics	Gravity|Gravitational astronomy
3.5.3.1.1	Gravity|Gravitational astronomy	Black hole
3.5.3.2	Astrophysics	Interstellar medium
3.5.3.3	Astrophysics	Direct numerical simulation|Numerical simulations
3.5.3.3.1	Direct numerical simulation|Numerical simulations	Astrophysical plasma
3.5.3.3.2	Direct numerical simulation|Numerical simulations	Galaxy formation and evolution
3.5.3.3.3	Direct numerical simulation|Numerical simulations	High-energy astronomy|High-energy astrophysics
3.5.3.3.4	Direct numerical simulation|Numerical simulations	Hydrodynamics
3.5.3.3.5	Direct numerical simulation|Numerical simulations	Magnetohydrodynamics
3.5.3.3.6	Direct numerical simulation|Numerical simulations	Star formation
3.5.3.4	Astrophysics	Physical cosmology
3.5.3.5	Astrophysics	Star|Stellar astrophysics
3.5.3.5.1	Star|Stellar astrophysics	Helioseismology
3.5.3.5.2	Star|Stellar astrophysics	Stellar evolution
3.5.3.5.3	Star|Stellar astrophysics	Stellar nucleosynthesis
3.5.4	Space sciences	Planetary science
4	Formal sciences	Formal sciences
4.0.5	Space sciences	Statistics
4.0.5.1	Statistics	Mathematical statistics
4.0.5.2	Statistics	Econometrics
4.0.5.3	Statistics	Actuarial science
4.0.5.4	Statistics	Demography
4.0.6	Space sciences	Approximation theory
4.0.7	Space sciences	Numerical analysis
4.0.8	Space sciences	Operations research
4.0.8.1	Operations research	Mathematical optimization
4.0.8.2	Operations research	Linear programming
4.0.8.3	Operations research	Dynamic programming
4.0.8.4	Operations research	Assignment problem
4.0.8.5	Operations research	Decision analysis
4.0.8.6	Operations research	Inventory theory
4.0.8.7	Operations research	Job shop scheduling|Scheduling
4.0.8.8	Operations research	Real options analysis
4.0.8.9	Operations research	Systems analysis
4.0.8.10	Operations research	Stochastic processes
4.0.8.11	Operations research	Optimal maintenance
4.0.9	Space sciences	Dynamical systems
4.0.9.1	Dynamical systems	Chaos theory
4.0.9.2	Dynamical systems	Fractal geometry
4.0.10	Space sciences	Mathematical physics
4.0.10.1	Mathematical physics	Quantum mechanics
4.0.10.2	Mathematical physics	Quantum field theory
4.0.10.3	Mathematical physics	Quantum gravity
4.0.10.3.1	Quantum gravity	String theory
4.0.10.4	Mathematical physics	Statistical mechanics
4.0.11	Space sciences	Theory of computation
4.0.11.1	Theory of computation	Computational complexity theory
4.0.12	Space sciences	Information theory
4.0.13	Space sciences	Cryptography
4.0.14	Space sciences	Combinatorics
4.0.14.1	Combinatorics	Coding theory
4.0.15	Space sciences	Graph theory
4.0.16	Space sciences	Game theory
4.0.17	Space sciences	Algebra
4.0.17.1	Algebra	Group theory
4.0.17.1.1	Group theory	Group representation
4.0.17.2	Algebra	Ring theory
4.0.17.2.1	Ring theory	Commutative algebra
4.0.17.2.2	Ring theory	Noncommutative algebra
4.0.17.3	Algebra	Field theory (mathematics)|Field theory
4.0.17.4	Algebra	Linear algebra
4.0.17.5	Algebra	Multilinear algebra
4.0.17.6	Algebra	Lie algebra
4.0.17.7	Algebra	Associative algebra
4.0.17.8	Algebra	Non-associative algebra
4.0.17.9	Algebra	Universal algebra
4.0.17.10	Algebra	Homological algebra
4.0.17.11	Algebra	Differential algebra
4.0.17.12	Algebra	Lattice theory
4.0.17.13	Algebra	Representation theory
4.0.17.14	Algebra	K-theory
4.0.17.15	Algebra	Category theory
4.0.17.15.1	Category theory	Topos|Topos theory
4.0.18	Space sciences	Mathematical analysis|Analysis
4.0.18.1	Mathematical analysis|Analysis	Real analysis
4.0.18.1.1	Real analysis	Calculus
4.0.18.2	Mathematical analysis|Analysis	Complex analysis
4.0.18.3	Mathematical analysis|Analysis	Functional analysis
4.0.18.3.1	Functional analysis	Operator theory
4.0.18.4	Mathematical analysis|Analysis	Non-standard analysis
4.0.18.5	Mathematical analysis|Analysis	Harmonic analysis
4.0.18.5.1	Harmonic analysis	Fourier analysis
4.0.18.6	Mathematical analysis|Analysis	p-adic analysis
4.0.18.7	Mathematical analysis|Analysis	Ordinary differential equations
4.0.18.8	Mathematical analysis|Analysis	Partial differential equations
4.0.19	Space sciences	Probability theory
4.0.19.1	Probability theory	Measure theory
4.0.19.1.1	Measure theory	Integral geometry
4.0.19.2	Probability theory	Ergodic theory
4.0.19.3	Probability theory	Stochastic process
4.0.20	Space sciences	Geometry
4.0.20.1	Geometry	General topology
4.0.20.2	Geometry	Algebraic topology
4.0.20.3	Geometry	Geometric topology
4.0.20.4	Geometry	Differential topology
4.0.20.5	Geometry	Projective geometry
4.0.20.6	Geometry	Affine geometry
4.0.20.7	Geometry	Non-Euclidean geometry
4.0.20.8	Geometry	Convex geometry
4.0.20.9	Geometry	Discrete geometry
4.0.20.10	Geometry	Integral geometry
4.0.20.11	Geometry	Noncommutative geometry
4.0.21	Space sciences	Number theory
4.0.21.1	Number theory	Analytic number theory
4.0.21.2	Number theory	Algebraic number theory
4.0.21.3	Number theory	Geometric number theory
4.0.22	Space sciences	Mathematical logic|Logic
4.0.22.1	Mathematical logic|Logic	Set theory
4.0.22.2	Mathematical logic|Logic	Proof theory
4.0.22.3	Mathematical logic|Logic	Model theory
4.0.22.4	Mathematical logic|Logic	Recursion theory
4.0.22.5	Mathematical logic|Logic	Modal logic
4.0.22.6	Mathematical logic|Logic	Intuitionistic logic
4.1	Formal sciences	Computer sciences
4.1.1	Computer sciences	Theory of computation
4.1.1.1	Theory of computation	Automata theory
4.1.1.2	Theory of computation	Computability theory (computer science)|Computability theory
4.1.1.3	Theory of computation	Computational complexity theory
4.1.1.4	Theory of computation	Concurrency (computer science)#Theory|Concurrency theory
4.1.2	Computer sciences	Very-large-scale integration|VLSI design
4.1.3	Computer sciences	Operating systems
4.1.4	Computer sciences	Algorithm
4.1.4.1	Algorithm	Randomized algorithms
4.1.4.2	Algorithm	Distributed algorithms
4.1.4.3	Algorithm	Parallel algorithms
4.1.4.4	Algorithm	Computational geometry
4.1.5	Computer sciences	Data structures
4.1.6	Computer sciences	Computer architecture
4.1.7	Computer sciences	Computer networking|Computer communications (networks)
4.1.7.1	Computer networking|Computer communications (networks)	Information theory
4.1.7.2	Computer networking|Computer communications (networks)	Internet
4.1.7.3	Computer networking|Computer communications (networks)	Wireless computing
4.1.7.4	Computer networking|Computer communications (networks)	Ubiquitous computing
4.1.7.5	Computer networking|Computer communications (networks)	Cloud computing
4.1.8	Computer sciences	Computer security
4.1.8.1	Computer security	Cryptography
4.1.8.2	Computer security	Fault-tolerant system|Fault-tolerant computing
4.1.9	Computer sciences	Distributed computing
4.1.9.1	Distributed computing	Grid computing
4.1.10	Computer sciences	Parallel computing
4.1.10.1	Parallel computing	High-performance computing
4.1.11	Computer sciences	Quantum computing
4.1.12	Computer sciences	Computer graphics
4.1.12.1	Computer graphics	Image processing
4.1.12.2	Computer graphics	Scientific visualization
4.1.13	Computer sciences	Software engineering
4.1.13.1	Software engineering	Formal methods
4.1.14	Computer sciences	Programming languages
4.1.14.1	Programming languages	Programming paradigms
4.1.14.1.1	Programming paradigms	Imperative programming
4.1.14.1.2	Programming paradigms	Object-oriented programming
4.1.14.1.3	Programming paradigms	Functional programming
4.1.14.1.4	Programming paradigms	Logic programming
4.1.14.1.5	Programming paradigms	Concurrent programming language|Concurrent programming
4.1.14.2	Programming languages	Program semantics
4.1.14.3	Programming languages	Type theory
4.1.14.4	Programming languages	Compilers
4.1.15	Computer sciences	Human-computer interaction
4.1.16	Computer sciences	Information science
4.1.16.1	Information science	Data management
4.1.16.2	Information science	Data mining
4.1.16.3	Information science	Database
4.1.16.3.1	Database	Relational database
4.1.16.3.2	Database	Distributed database
4.1.16.3.3	Database	Object database
4.1.16.4	Information science	Information retrieval
4.1.16.5	Information science	Information management
4.1.16.6	Information science	Knowledge management
4.1.16.7	Information science	Multimedia
4.1.16.7.1	Multimedia	Sound and music computing
4.1.17	Computer sciences	Artificial intelligence
4.1.17.1	Artificial intelligence	Cognitive science
4.1.17.1.1	Cognitive science	Automated reasoning
4.1.17.1.2	Cognitive science	Machine learning
4.1.17.1.2.1	Machine learning	Artificial neural network
4.1.17.1.2.2	Machine learning	Support vector machine
4.1.17.1.3	Cognitive science	Natural language processing
4.1.17.1.4	Cognitive science	Computer vision
4.1.17.2	Artificial intelligence	Expert systems
4.1.17.3	Artificial intelligence	Robotics
4.1.18	Computer sciences	Mathematics
4.1.18.1	Mathematics	Numerical analysis
4.1.18.2	Mathematics	Symbolic computation|Algebraic (symbolic) computation
4.1.18.3	Mathematics	Computational number theory
4.1.18.4	Mathematics	Computational mathematics
4.1.18.5	Mathematics	Scientific computing|Scientific computing (Computational science)
4.1.18.6	Mathematics	Computational biology|Computational biology (bioinformatics)
4.1.18.7	Mathematics	Computational physics
4.1.18.8	Mathematics	Computational chemistry
4.1.18.9	Mathematics	Computational neuroscience
4.1.18.10	Mathematics	Computer-aided engineering
4.1.18.10.1	Computer-aided engineering	Finite element analysis
4.1.18.10.2	Computer-aided engineering	Computational fluid dynamics
4.1.19	Computer sciences	Social sciences
4.1.19.1	Social sciences	Computational economics
4.1.19.2	Social sciences	Computational sociology
4.1.19.3	Social sciences	Computational finance
4.1.19.4	Social sciences	Digital Humanities
4.1.19.5	Social sciences	History of computer hardware
4.1.19.6	Social sciences	History of computer science
4.1.19.7	Social sciences	Humanistic informatics
4.1.19.8	Social sciences	Community informatics
4.2	Formal sciences	Logic
4.2.1	Logic	Mathematical logic
4.2.1.1	Mathematical logic	Set theory
4.2.1.2	Mathematical logic	Proof theory
4.2.1.3	Mathematical logic	Model theory
4.2.1.4	Mathematical logic	Recursion theory
4.2.1.5	Mathematical logic	Modal logic
4.2.1.6	Mathematical logic	Intuitionistic logic
4.2.2	Logic	Philosophical logic
4.2.2.1	Philosophical logic	Logical reasoning
4.2.2.2	Philosophical logic	Modal logic
4.2.2.2.1	Modal logic	Deontic logic
4.2.2.2.2	Modal logic	Doxastic logic
4.2.3	Logic	Logic in computer science
4.2.3.1	Logic in computer science	Formal semantics of programming languages|Programming language semantics
4.2.3.2	Logic in computer science	Formal methods
4.2.3.3	Logic in computer science	Type theory
4.2.3.4	Logic in computer science	Logic programming
4.2.3.5	Logic in computer science	Multi-valued logic
4.2.3.5.1	Multi-valued logic	Fuzzy logic
4.3	Formal sciences	Statistics
4.3.1	Statistics	Computational statistics
4.3.1.1	Computational statistics	Data mining
4.3.1.2	Computational statistics	Regression analysis|Regression
4.3.1.3	Computational statistics	Simulation
4.3.1.3.1	Simulation	Bootstrap (statistics)
4.3.2	Statistics	Design of experiments
4.3.2.1	Design of experiments	Block design
4.3.2.2	Design of experiments	Response surface methodology
4.3.3	Statistics	Survey Sampling|Sample Survey
4.3.3.1	Survey Sampling|Sample Survey	Statistical sampling|Sampling theory
4.3.4	Statistics	Statistical model
4.3.4.1	Statistical model	Biostatistics
4.3.4.1.1	Biostatistics	Epidemiology
4.3.4.2	Statistical model	Multivariate analysis
4.3.4.2.1	Multivariate analysis	Structural equation model
4.3.4.2.2	Multivariate analysis	Time series
4.3.4.3	Statistical model	Reliability theory
4.3.4.4	Statistical model	Quality control
4.3.5	Statistics	Statistical theory
4.3.5.1	Statistical theory	Decision theory
4.3.5.2	Statistical theory	Mathematical statistics
4.3.5.2.1	Mathematical statistics	Probability
4.3.5.3	Statistical theory	Survey (statistics)|Survey methodology
4.4	Formal sciences	Systems science
4.4.1	Systems science	Complex systems
4.4.2	Systems science	Cybernetics
4.4.2.1	Cybernetics	Engineering cybernetics
4.4.2.2	Cybernetics	Management cybernetics
4.4.2.3	Cybernetics	Medical cybernetics
4.4.2.4	Cybernetics	New Cybernetics
4.4.2.5	Cybernetics	Second-order cybernetics
4.4.3	Systems science	Control theory
4.4.3.1	Control theory	Control engineering
4.4.3.2	Control theory	Control systems
4.4.3.3	Control theory	Dynamical systems
4.4.4	Systems science	Operations research
4.4.4.1	Operations research	Computational systems biology
4.4.4.2	Operations research	Synthetic biology
4.4.4.3	Operations research	Systems immunology
4.4.5	Systems science	Systems dynamics
4.4.5.1	Systems dynamics	Ecosystem ecology
4.4.6	Systems science	Systems engineering
4.4.6.1	Systems engineering	Earth systems engineering and management
4.4.6.2	Systems engineering	Enterprise systems engineering
4.4.6.3	Systems engineering	Systems analysis
4.4.6.4	Systems engineering	Ergonomics
4.4.6.5	Systems engineering	Systemic therapy
4.4.7	Systems science	Systems theory
4.4.7.1	Systems theory	Ecological systems theory
4.4.7.2	Systems theory	Developmental systems theory
4.4.7.3	Systems theory	General systems theory
4.4.7.4	Systems theory	LTI system theory
4.4.7.5	Systems theory	Sociotechnical systems theory
4.4.7.6	Systems theory	Mathematical system theory
5	Professions	Professions
5.1	Professions	Agriculture
5.1.1	Agriculture	Agroecology
5.1.2	Agriculture	Agronomy
5.1.3	Agriculture	Animal husbandry
5.1.3.1	Animal husbandry	Beekeeping
5.1.4	Agriculture	Agrology
5.1.5	Agriculture	Entomology
5.1.6	Agriculture	Agricultural economics
5.1.7	Agriculture	Agricultural engineering
5.1.7.1	Agricultural engineering	Biological systems engineering
5.1.7.2	Agricultural engineering	Food engineering
5.1.8	Agriculture	Aquaculture
5.1.9	Agriculture	Enology
5.1.10	Agriculture	Food science
5.1.11	Agriculture	Horticulture
5.1.12	Agriculture	Hydrology
5.1.13	Agriculture	Plant science
5.1.13.1	Plant science	Pomology
5.1.14	Agriculture	Viticulture
5.2	Professions	Architecture and design
5.2.1	Architecture and design	Architecture
5.2.1.1	Architecture	Architecture
5.2.1.2	Architecture	Urban planning
5.2.1.3	Architecture	Interior design
5.2.1.4	Architecture	Landscape architecture
5.2.2	Architecture and design	Architectural Analytics
5.2.3	Architecture and design	Historic preservation
5.2.4	Architecture and design	Visual communication
5.2.4.1	Visual communication	Graphic design
5.2.4.1.1	Graphic design	Type design
5.2.4.2	Visual communication	Technical drawing
5.2.5	Architecture and design	Industrial design
5.2.5.1	Industrial design	Ergonomics
5.2.5.2	Industrial design	Game design
5.2.5.3	Industrial design	Toy|Toy and amusement design
5.2.6	Architecture and design	User experience design
5.2.6.1	User experience design	Interaction design
5.2.6.2	User experience design	Information architecture
5.2.6.3	User experience design	User interface design
5.2.6.4	User experience design	User experience evaluation
5.2.7	Architecture and design	Fashion design
5.2.8	Architecture and design	Textile design
5.3	Professions	Business
5.3.1	Business	Accounting scholarship
5.3.2	Business	Business administration
5.3.3	Business	Business analysis
5.3.4	Business	Business ethics
5.3.5	Business	Business law
5.3.6	Business	E-Business
5.3.7	Business	Entrepreneurship
5.3.8	Business	Finance
5.3.9	Business	Industrial relations|Industrial and labor relations
5.3.9.1	Industrial relations|Industrial and labor relations	Collective bargaining
5.3.9.2	Industrial relations|Industrial and labor relations	Human resources
5.3.9.3	Industrial relations|Industrial and labor relations	Organizational studies
5.3.9.4	Industrial relations|Industrial and labor relations	Labor economics
5.3.9.5	Industrial relations|Industrial and labor relations	Labor history (discipline)|Labor history
5.3.10	Business	Information systems
5.3.10.1	Information systems	Management information systems
5.3.10.2	Information systems	Health informatics
5.3.11	Business	Information technology
5.3.12	Business	International trade
5.3.13	Business	Marketing
5.3.14	Business	Purchasing
5.3.15	Business	Risk management
5.3.16	Business	Systems science
5.4	Professions	Divinity
5.4.1	Divinity	Canon law
5.4.2	Divinity	History of Christianity|Church history
5.4.3	Divinity	Field ministry
5.4.3.1	Field ministry	Pastoral counseling
5.4.3.2	Field ministry	Pastoral theology
5.4.3.3	Field ministry	Religious education
5.4.3.4	Field ministry	Homiletics
5.4.3.5	Field ministry	Liturgy
5.4.3.6	Field ministry	Sacred music
5.4.3.7	Field ministry	Missiology
5.4.4	Divinity	Scriptural study and languages
5.4.4.1	Scriptural study and languages	Biblical Hebrew language|Biblical Hebrew
5.4.4.2	Scriptural study and languages	Biblical studies
5.4.4.3	Scriptural study and languages	Koine Greek|New Testament Greek
5.4.4.4	Scriptural study and languages	Latin
5.4.4.5	Scriptural study and languages	Old Church Slavonic
5.4.5	Divinity	Theology
5.4.5.1	Theology	Dogmatic theology
5.4.5.2	Theology	Ecclesiology
5.4.5.3	Theology	Sacrament|Sacramental theology
5.4.5.4	Theology	Systematic theology
5.4.5.5	Theology	Christian ethics
5.5	Professions	Education
5.5.1	Education	Comparative Education
5.5.2	Education	Consumer education
5.5.3	Education	Critical pedagogy
5.5.4	Education	Curriculum and instruction
5.5.4.1	Curriculum and instruction	Alternative education
5.5.4.2	Curriculum and instruction	Elementary education
5.5.4.3	Curriculum and instruction	Secondary education
5.5.4.4	Curriculum and instruction	Higher education
5.5.4.5	Curriculum and instruction	Mastery learning
5.5.4.6	Curriculum and instruction	Cooperative learning
5.5.4.7	Curriculum and instruction	Agricultural education
5.5.4.8	Curriculum and instruction	Art education
5.5.4.9	Curriculum and instruction	Bilingual education
5.5.4.10	Curriculum and instruction	Chemistry education
5.5.4.11	Curriculum and instruction	Counselor education
5.5.4.12	Curriculum and instruction	Language education
5.5.4.13	Curriculum and instruction	Legal education
5.5.4.14	Curriculum and instruction	Mathematics education
5.5.4.15	Curriculum and instruction	Medical education
5.5.4.16	Curriculum and instruction	Military education and training
5.5.4.17	Curriculum and instruction	Music education
5.5.4.18	Curriculum and instruction	Nursing education
5.5.4.19	Curriculum and instruction	Peace education
5.5.4.20	Curriculum and instruction	Physical education
5.5.4.21	Curriculum and instruction	Physics education
5.5.4.22	Curriculum and instruction	Reading education
5.5.4.23	Curriculum and instruction	Religious education
5.5.4.24	Curriculum and instruction	Science education
5.5.4.25	Curriculum and instruction	Special education
5.5.4.26	Curriculum and instruction	Sex education
5.5.4.27	Curriculum and instruction	Sociology of education
5.5.4.28	Curriculum and instruction	Technology education
5.5.4.29	Curriculum and instruction	Vocational education
5.5.5	Education	Educational leadership
5.5.6	Education	Educational philosophy
5.5.7	Education	Educational psychology
5.5.8	Education	Educational technology
5.5.9	Education	Distance education
5.6	Professions	Engineering
5.6.1	Engineering	Bioengineering
5.6.1.1	Bioengineering	Biochemical engineering
5.6.1.2	Bioengineering	Biomolecular engineering
5.6.2	Engineering	Catalysis
5.6.3	Engineering	Materials engineering
5.6.4	Engineering	Molecular engineering
5.6.5	Engineering	Nanotechnology
5.6.6	Engineering	Polymer engineering
5.6.7	Engineering	Process design
5.6.7.1	Process design	Petroleum engineering
5.6.7.2	Process design	Nuclear engineering
5.6.7.3	Process design	Food engineering
5.6.8	Engineering	Reaction engineering
5.6.9	Engineering	Thermodynamics
5.6.10	Engineering	Transport phenomena
5.6.11	Engineering	Earthquake engineering
5.6.12	Engineering	Ecological engineering
5.6.13	Engineering	Environmental engineering
5.6.14	Engineering	Geotechnical engineering
5.6.14.1	Geotechnical engineering	Engineering geology
5.6.14.2	Geotechnical engineering	Geoengineering
5.6.15	Engineering	Hydraulic Engineering
5.6.16	Engineering	Mining engineering
5.6.17	Engineering	Transportation engineering
5.6.17.1	Transportation engineering	Highway engineering
5.6.18	Engineering	Structural engineering
5.6.18.1	Structural engineering	Architectural engineering
5.6.19	Engineering	Structural Mechanics
5.6.20	Engineering	Surveying
5.6.21	Engineering	Applied physics
5.6.22	Engineering	Computer engineering
5.6.23	Engineering	Computer Science
5.6.24	Engineering	Control engineering|Control systems engineering
5.6.24.1	Control engineering|Control systems engineering	Control theory
5.6.25	Engineering	Electronic engineering
5.6.25.1	Electronic engineering	Instrumentation engineering
5.6.26	Engineering	Engineering physics
5.6.26.1	Engineering physics	Photonics
5.6.27	Engineering	Information theory
5.6.28	Engineering	Mechatronics
5.6.29	Engineering	Power engineering
5.6.30	Engineering	Robotics
5.6.31	Engineering	Semiconductors
5.6.32	Engineering	Telecommunications engineering
5.6.33	Engineering	Quantum Computing
5.6.34	Engineering	Biomaterials
5.6.35	Engineering	Ceramic engineering
5.6.36	Engineering	Crystallography
5.6.37	Engineering	Nanomaterials
5.6.38	Engineering	Photonics
5.6.39	Engineering	Metallurgy|Physical Metallurgy
5.6.40	Engineering	Polymer engineering
5.6.41	Engineering	Polymer science
5.6.42	Engineering	Semiconductors
5.6.43	Engineering	Aerospace engineering
5.6.44	Engineering	Acoustical engineering
5.6.45	Engineering	Automotive engineering
5.6.46	Engineering	Biomedical engineering
5.6.46.1	Biomedical engineering	Biomechanical engineering
5.6.47	Engineering	Continuum mechanics
5.6.48	Engineering	Fluid mechanics
5.6.49	Engineering	Heat transfer
5.6.50	Engineering	Industrial engineering
5.6.51	Engineering	Manufacturing engineering
5.6.52	Engineering	Marine propulsion|Marine engineering
5.6.53	Engineering	Mass transfer
5.6.54	Engineering	Mechatronics
5.6.55	Engineering	Nanoengineering
5.6.56	Engineering	Offshore construction|Ocean engineering
5.6.57	Engineering	Optical engineering
5.6.58	Engineering	Robotics
5.6.59	Engineering	Thermodynamics
5.7	Professions	Environmental studies and forestry
5.7.1	Environmental studies and forestry	Environmental management
5.7.1.1	Environmental management	Coastal management
5.7.1.2	Environmental management	Fisheries management
5.7.1.3	Environmental management	Land management
5.7.1.4	Environmental management	Natural resource management
5.7.1.5	Environmental management	Wildlife management
5.7.2	Environmental studies and forestry	Environmental policy
5.7.3	Environmental studies and forestry	Recreation ecology
5.7.4	Environmental studies and forestry	Silviculture
5.7.5	Environmental studies and forestry	Sustainability studies
5.7.5.1	Sustainability studies	Sustainable development
5.7.6	Environmental studies and forestry	Toxicology
5.8	Professions	Family and consumer science
5.8.1	Family and consumer science	Consumer education
5.8.2	Family and consumer science	Housing
5.8.3	Family and consumer science	Interior design
5.8.4	Family and consumer science	Nutrition
5.8.4.1	Nutrition	Foodservice|Foodservice management
5.8.5	Family and consumer science	Textile
5.9	Professions	Human physical performance and recreation
5.9.1	Human physical performance and recreation	Biomechanics
5.9.2	Human physical performance and recreation	Sports coaching
5.9.3	Human physical performance and recreation	Dance
5.9.4	Human physical performance and recreation	Ergonomics
5.9.5	Human physical performance and recreation	Physical fitness
5.9.5.1	Physical fitness	aerobics
5.9.5.2	Physical fitness	Personal trainer
5.9.6	Human physical performance and recreation	Game design
5.9.7	Human physical performance and recreation	Exercise physiology
5.9.8	Human physical performance and recreation	Kinesiology
5.9.9	Human physical performance and recreation	Leisure studies
5.9.10	Human physical performance and recreation	Physical education
5.9.11	Human physical performance and recreation	Sociology of sport
5.9.12	Human physical performance and recreation	Sexology
5.9.13	Human physical performance and recreation	sportscasting
5.9.14	Human physical performance and recreation	Sport management
5.9.14.1	Sport management	Athletic Administration|Athletic director
5.9.15	Human physical performance and recreation	Sport psychology
5.9.16	Human physical performance and recreation	Sports medicine
5.9.16.1	Sports medicine	Athletic training
5.9.17	Human physical performance and recreation	Toy|Toy and amusement design
5.10	Professions	Journalism, media studies and communication
5.10.1	Journalism, media studies and communication	Journalism
5.10.1.1	Journalism	Broadcast journalism
5.10.1.2	Journalism	Literary journalism
5.10.1.3	Journalism	New media|New media journalism
5.10.1.4	Journalism	Print journalism
5.10.1.5	Journalism	sportscasting
5.10.2	Journalism, media studies and communication	Media studies
5.10.2.1	Media studies	Newspaper
5.10.2.2	Media studies	Magazine
5.10.2.3	Media studies	Radio
5.10.2.4	Media studies	Television
5.10.2.4.1	Television	Television studies
5.10.2.5	Media studies	Internet
5.10.3	Journalism, media studies and communication	Communication studies
5.10.3.1	Communication studies	Advertising
5.10.3.2	Communication studies	Animal communication
5.10.3.3	Communication studies	Communication design
5.10.3.4	Communication studies	Environmental communication
5.10.3.5	Communication studies	Information theory
5.10.3.6	Communication studies	Cross-cultural communication|Intercultural communication
5.10.3.7	Communication studies	Marketing
5.10.3.8	Communication studies	Mass communication
5.10.3.9	Communication studies	Nonverbal communication
5.10.3.10	Communication studies	Organizational communication
5.10.3.11	Communication studies	Propaganda
5.10.3.12	Communication studies	Public relations
5.10.3.13	Communication studies	Speech communication
5.10.3.14	Communication studies	Technical writing
5.10.3.15	Communication studies	Translation
5.11	Professions	Law
5.11.1	Law	Canon law
5.11.2	Law	Comparative law
5.11.3	Law	Constitutional law
5.11.4	Law	Competition law
5.11.5	Law	Criminal law
5.11.5.1	Criminal law	Criminal procedure
5.11.5.2	Criminal law	Criminal justice
5.11.5.2.1	Criminal justice	Police science
5.11.5.2.2	Criminal justice	Forensic science
5.11.6	Law	Sharia|Islamic law
5.11.7	Law	Jewish law
5.11.8	Law	Jurisprudence
5.11.9	Law	Civil law (common law)|Civil law
5.11.9.1	Civil law (common law)|Civil law	Admiralty law
5.11.9.2	Civil law (common law)|Civil law	Animal law
5.11.9.3	Civil law (common law)|Civil law	Corporations
5.11.9.4	Civil law (common law)|Civil law	Civil procedure
5.11.9.5	Civil law (common law)|Civil law	Contract law
5.11.9.6	Civil law (common law)|Civil law	Environmental law
5.11.9.7	Civil law (common law)|Civil law	International law
5.11.9.8	Civil law (common law)|Civil law	Labor law
5.11.9.9	Civil law (common law)|Civil law	Paralegal|Paralegal studies
5.11.9.10	Civil law (common law)|Civil law	Property law
5.11.9.11	Civil law (common law)|Civil law	Tax law
5.11.9.12	Civil law (common law)|Civil law	Tort law
5.12	Professions	Library and museum studies
5.12.1	Library and museum studies	Archival science
5.12.2	Library and museum studies	Bibliometrics
5.12.2.1	Bibliometrics	Citation analysis
5.12.3	Library and museum studies	Conservation science (cultural heritage)|Conservation science
5.12.4	Library and museum studies	Informatics (academic field)|Informatics
5.12.5	Library and museum studies	Information architecture
5.12.6	Library and museum studies	Museology
5.12.6.1	Museology	Arts administration|Museum administration
5.13	Professions	Medicine
5.13.1	Medicine	Clinical laboratory sciences
